anio;mes;destino;tipo;energia
2023;1;Brasil;Exportación;0,0
2023;1;Chile;Exportación;0,0
2023;1;Paraguay;Exportación;0,0
2023;1;Uruguay;Exportación;0,0
2023;1;Bolivia;Exportación;0,0
2023;1;Brasil;Importación;840318,2
2023;1;Chile;Importación;9584,7
2023;1;Paraguay;Importación;11433,0
2023;1;Uruguay;Importación;13348,0
2023;1;Bolivia;Importación;0,0
2023;2;Brasil;Exportación;0,0
2023;2;Chile;Exportación;0,0
2023;2;Paraguay;Exportación;0,0
2023;2;Uruguay;Exportación;8551,0
2023;2;Bolivia;Exportación;0,0
2023;2;Brasil;Importación;727513,3
2023;2;Chile;Importación;6987,5
2023;2;Paraguay;Importación;8488,9
2023;2;Uruguay;Importación;27605,0
2023;2;Bolivia;Importación;0,0
2023;3;Brasil;Exportación;0,0
2023;3;Chile;Exportación;0,0
2023;3;Paraguay;Exportación;0,1
2023;3;Uruguay;Exportación;510,0
2023;3;Bolivia;Exportación;16,8
2023;3;Brasil;Importación;972248,9
2023;3;Chile;Importación;10237,6
2023;3;Paraguay;Importación;9792,2
2023;3;Uruguay;Importación;45820,0
2023;3;Bolivia;Importación;26278,2
2023;4;Brasil;Exportación;0,0
2023;4;Chile;Exportación;0,0
2023;4;Paraguay;Exportación;0,0
2023;4;Uruguay;Exportación;5569,0
2023;4;Bolivia;Exportación;30,6
2023;4;Brasil;Importación;895193,3
2023;4;Chile;Importación;7966,9
2023;4;Paraguay;Importación;7985,9
2023;4;Uruguay;Importación;10736,0
2023;4;Bolivia;Importación;38951,0
2023;5;Brasil;Exportación;0,0
2023;5;Chile;Exportación;0,0
2023;5;Paraguay;Exportación;0,0
2023;5;Uruguay;Exportación;2626,0
2023;5;Bolivia;Exportación;18,8
2023;5;Brasil;Importación;512982,1
2023;5;Chile;Importación;3332,1
2023;5;Paraguay;Importación;9559,0
2023;5;Uruguay;Importación;956,0
2023;5;Bolivia;Importación;123,6
2023;6;Brasil;Exportación;0,0
2023;6;Chile;Exportación;0,0
2023;6;Paraguay;Exportación;0,0
2023;6;Uruguay;Exportación;0,0
2023;6;Bolivia;Exportación;0,9
2023;6;Brasil;Importación;774200,8
2023;6;Chile;Importación;0,0
2023;6;Paraguay;Importación;12658,1
2023;6;Uruguay;Importación;102,0
2023;6;Bolivia;Importación;16,5
2023;7;Brasil;Exportación;0,0
2023;7;Chile;Exportación;0,0
2023;7;Paraguay;Exportación;0,0
2023;7;Uruguay;Exportación;0,0
2023;7;Bolivia;Exportación;1,6
2023;7;Brasil;Importación;774196,5
2023;7;Chile;Importación;1750,7
2023;7;Paraguay;Importación;11584,8
2023;7;Uruguay;Importación;8603,0
2023;7;Bolivia;Importación;17,7
2023;8;Brasil;Exportación;5222,5
2023;8;Chile;Exportación;0,0
2023;8;Paraguay;Exportación;0,0
2023;8;Uruguay;Exportación;0,0
2023;8;Bolivia;Exportación;14,9
2023;8;Brasil;Importación;181865,0
2023;8;Chile;Importación;3150,7
2023;8;Paraguay;Importación;10909,9
2023;8;Uruguay;Importación;47731,0
2023;8;Bolivia;Importación;3572,6
2023;9;Brasil;Exportación;10767,5
2023;9;Chile;Exportación;0,0
2023;9;Paraguay;Exportación;0,0
2023;9;Uruguay;Exportación;171,0
2023;9;Bolivia;Exportación;130,1
2023;9;Brasil;Importación;94758,7
2023;9;Chile;Importación;4786,4
2023;9;Paraguay;Importación;9959,5
2023;9;Uruguay;Importación;64865,0
2023;9;Bolivia;Importación;5414,3
2023;10;Brasil;Exportación;41125,4
2023;10;Chile;Exportación;0,0
2023;10;Paraguay;Exportación;0,0
2023;10;Uruguay;Exportación;1010,0
2023;10;Bolivia;Exportación;13,7
2023;10;Brasil;Importación;0,0
2023;10;Chile;Importación;0,0
2023;10;Paraguay;Importación;10086,8
2023;10;Uruguay;Importación;0,0
2023;10;Bolivia;Importación;16,6
2023;11;Brasil;Exportación;15706,6
2023;11;Chile;Exportación;0,0
2023;11;Paraguay;Exportación;0,0
2023;11;Uruguay;Exportación;477,0
2023;11;Bolivia;Exportación;2,4
2023;11;Brasil;Importación;0,0
2023;11;Chile;Importación;0,0
2023;11;Paraguay;Importación;1755,5
2023;11;Uruguay;Importación;2748,0
2023;11;Bolivia;Importación;17,4
2023;12;Brasil;Exportación;4988,6
2023;12;Chile;Exportación;0,0
2023;12;Paraguay;Exportación;0,0
2023;12;Uruguay;Exportación;744,0
2023;12;Bolivia;Exportación;6,4
2023;12;Brasil;Importación;2903,6
2023;12;Chile;Importación;0,0
2023;12;Paraguay;Importación;8803,9
2023;12;Uruguay;Importación;6628,0
2023;12;Bolivia;Importación;15,6
2024;1;Brasil;Exportación;382606,4
2024;1;Chile;Exportación;0,0
2024;1;Paraguay;Exportación;0,0
2024;1;Uruguay;Exportación;38315,7
2024;1;Bolivia;Exportación;40,3
2024;1;Brasil;Importación;49550,2
2024;1;Chile;Importación;16858,1
2024;1;Paraguay;Importación;10257,3
2024;1;Uruguay;Importación;2981,0
2024;1;Bolivia;Importación;11047,5
2024;2;Brasil;Exportación;64696,1
2024;2;Chile;Exportación;0,0
2024;2;Paraguay;Exportación;0,0
2024;2;Uruguay;Exportación;76,0
2024;2;Bolivia;Exportación;35,4
2024;2;Brasil;Importación;282943,8
2024;2;Chile;Importación;11566,8
2024;2;Paraguay;Importación;8597,8
2024;2;Uruguay;Importación;74456,0
2024;2;Bolivia;Importación;25207,8
2024;3;Brasil;Exportación;50587,0
2024;3;Chile;Exportación;0,0
2024;3;Paraguay;Exportación;0,0
2024;3;Uruguay;Exportación;0,0
2024;3;Bolivia;Exportación;2,0
2024;3;Brasil;Importación;2400,9
2024;3;Chile;Importación;11320,8
2024;3;Paraguay;Importación;9962,3
2024;3;Uruguay;Importación;52189,0
2024;3;Bolivia;Importación;17,4
2024;4;Brasil;Exportación;128130,2
